NumElements, MSE_natural, MSE_SGW
10, 0.125827, 0.050579
20, 0.071151, 0.024048
30, 0.046690, 0.014698
40, 0.030579, 0.009891
50, 0.022154, 0.007506
60, 0.015938, 0.006192
70, 0.011209, 0.005303
80, 0.008574, 0.004782
90, 0.007069, 0.004414
100, 0.006017, 0.004152
110, 0.005264, 0.003971
120, 0.004728, 0.003844
130, 0.004393, 0.003755
140, 0.004154, 0.003684
150, 0.003965, 0.003637
160, 0.003820, 0.003606
170, 0.003731, 0.003581
180, 0.003667, 0.003563
190, 0.003625, 0.003551
200, 0.003594, 0.003542
