NumElements, MSE_natural, MSE_SGW
10, 0.154783, 0.013531
20, 0.087782, 0.010626
30, 0.055411, 0.009217
40, 0.039072, 0.008415
50, 0.029180, 0.007933
60, 0.021114, 0.007578
70, 0.016883, 0.007355
80, 0.013996, 0.007190
90, 0.012151, 0.007064
100, 0.010981, 0.006976
110, 0.010060, 0.006917
120, 0.009384, 0.006872
130, 0.008960, 0.006842
140, 0.008683, 0.006816
150, 0.008460, 0.006797
160, 0.008300, 0.006785
170, 0.008168, 0.006777
180, 0.008080, 0.006772
190, 0.008022, 0.006768
200, 0.007975, 0.006766
