NumElements, MSE_natural, MSE_SGW
10, 0.000331, 0.180874
20, 0.000186, 0.017078
30, 0.000120, 0.007604
40, 0.000083, 0.004274
50, 0.000060, 0.002346
60, 0.000046, 0.001509
70, 0.000036, 0.001028
80, 0.000030, 0.000750
90, 0.000025, 0.000543
100, 0.000021, 0.000394
110, 0.000019, 0.000295
120, 0.000016, 0.000223
130, 0.000014, 0.000171
140, 0.000012, 0.000138
150, 0.000011, 0.000112
160, 0.000009, 0.000092
170, 0.000008, 0.000076
180, 0.000008, 0.000065
190, 0.000007, 0.000056
200, 0.000006, 0.000049
210, 0.000006, 0.000042
220, 0.000005, 0.000036
230, 0.000005, 0.000032
240, 0.000004, 0.000029
250, 0.000004, 0.000026
260, 0.000004, 0.000023
270, 0.000003, 0.000021
280, 0.000003, 0.000018
290, 0.000003, 0.000017
300, 0.000003, 0.000015
310, 0.000002, 0.000013
320, 0.000002, 0.000012
330, 0.000002, 0.000011
340, 0.000002, 0.000010
350, 0.000002, 0.000009
360, 0.000002, 0.000008
370, 0.000001, 0.000008
380, 0.000001, 0.000007
390, 0.000001, 0.000007
400, 0.000001, 0.000006
410, 0.000001, 0.000006
420, 0.000001, 0.000005
430, 0.000001, 0.000005
440, 0.000001, 0.000004
450, 0.000001, 0.000004
460, 0.000001, 0.000004
470, 0.000001, 0.000004
480, 0.000001, 0.000003
490, 0.000001, 0.000003
500, 0.000001, 0.000003
510, 0.000001, 0.000003
520, 0.000000, 0.000002
530, 0.000000, 0.000002
540, 0.000000, 0.000002
550, 0.000000, 0.000002
560, 0.000000, 0.000002
570, 0.000000, 0.000002
