NumElements, MSE_natural, MSE_SGW
10, 0.609862, 0.205383
20, 0.453078, 0.025463
30, 0.352763, 0.030578
40, 0.278208, 0.036489
50, 0.219604, 0.042979
60, 0.186707, 0.047737
70, 0.151899, 0.053141
80, 0.137989, 0.059489
90, 0.132122, 0.064303
100, 0.127014, 0.068554
110, 0.124393, 0.072908
120, 0.119656, 0.076286
130, 0.115595, 0.080383
140, 0.112603, 0.084542
150, 0.111730, 0.088684
160, 0.108544, 0.092501
170, 0.106145, 0.096085
180, 0.104960, 0.098322
190, 0.102448, 0.101092
200, 0.102966, 0.102459
210, 0.102369, 0.104660
220, 0.103962, 0.107346
230, 0.102772, 0.110446
240, 0.101178, 0.113187
250, 0.101174, 0.115759
260, 0.100428, 0.117708
270, 0.101994, 0.119103
280, 0.102375, 0.120271
290, 0.102525, 0.121379
300, 0.104146, 0.123306
310, 0.104823, 0.124780
320, 0.104549, 0.125817
330, 0.104711, 0.127642
340, 0.105803, 0.128636
350, 0.105518, 0.130811
360, 0.105644, 0.132561
370, 0.106650, 0.133194
380, 0.107105, 0.135276
390, 0.106949, 0.136246
400, 0.106987, 0.137123
410, 0.107435, 0.138160
420, 0.106582, 0.138980
430, 0.106921, 0.140124
440, 0.107761, 0.140952
450, 0.107380, 0.142051
460, 0.108487, 0.143282
470, 0.108474, 0.144236
480, 0.109097, 0.144957
490, 0.108563, 0.145924
500, 0.108595, 0.146775
510, 0.109166, 0.147614
520, 0.109500, 0.148137
530, 0.109728, 0.149192
540, 0.109839, 0.148820
550, 0.109932, 0.149362
560, 0.109611, 0.149687
570, 0.109885, 0.150206
