NumElements, MSE_natural, MSE_SGW
10, 0.050932, 0.204199
20, 0.014250, 0.018709
30, 0.005413, 0.008690
40, 0.002882, 0.004981
50, 0.001577, 0.003106
60, 0.000978, 0.002030
70, 0.000638, 0.001453
80, 0.000419, 0.001075
90, 0.000280, 0.000779
100, 0.000198, 0.000587
110, 0.000145, 0.000440
120, 0.000107, 0.000346
130, 0.000081, 0.000277
140, 0.000064, 0.000227
150, 0.000052, 0.000185
160, 0.000042, 0.000155
170, 0.000034, 0.000131
180, 0.000029, 0.000111
190, 0.000024, 0.000094
200, 0.000021, 0.000079
210, 0.000018, 0.000067
220, 0.000016, 0.000058
230, 0.000014, 0.000050
240, 0.000012, 0.000044
250, 0.000011, 0.000039
260, 0.000010, 0.000034
270, 0.000009, 0.000030
280, 0.000008, 0.000027
290, 0.000008, 0.000024
300, 0.000007, 0.000021
310, 0.000007, 0.000019
320, 0.000006, 0.000017
330, 0.000006, 0.000015
340, 0.000005, 0.000014
350, 0.000005, 0.000013
360, 0.000005, 0.000012
370, 0.000005, 0.000011
380, 0.000004, 0.000010
390, 0.000004, 0.000009
400, 0.000004, 0.000008
410, 0.000004, 0.000008
420, 0.000004, 0.000007
430, 0.000003, 0.000007
440, 0.000003, 0.000006
450, 0.000003, 0.000006
460, 0.000003, 0.000006
470, 0.000003, 0.000005
480, 0.000003, 0.000005
490, 0.000003, 0.000005
500, 0.000003, 0.000005
510, 0.000003, 0.000004
520, 0.000003, 0.000004
530, 0.000003, 0.000004
540, 0.000002, 0.000004
550, 0.000002, 0.000004
560, 0.000002, 0.000003
570, 0.000002, 0.000003
