NumElements, MSE_natural, MSE_SGW
10, 0.009478, 0.038431
20, 0.005929, 0.006914
30, 0.004714, 0.003187
40, 0.004007, 0.001728
50, 0.003457, 0.001141
60, 0.003101, 0.000799
70, 0.002797, 0.000615
80, 0.002568, 0.000504
90, 0.002370, 0.000439
100, 0.002236, 0.000387
110, 0.002112, 0.000346
120, 0.002006, 0.000313
130, 0.001902, 0.000286
140, 0.001814, 0.000261
150, 0.001733, 0.000238
160, 0.001662, 0.000219
170, 0.001601, 0.000201
180, 0.001545, 0.000186
190, 0.001484, 0.000172
200, 0.001437, 0.000160
210, 0.001395, 0.000150
220, 0.001356, 0.000142
230, 0.001319, 0.000134
240, 0.001288, 0.000127
250, 0.001257, 0.000120
260, 0.001226, 0.000114
270, 0.001199, 0.000109
280, 0.001176, 0.000103
290, 0.001154, 0.000099
300, 0.001131, 0.000094
310, 0.001111, 0.000090
320, 0.001090, 0.000087
330, 0.001071, 0.000083
340, 0.001057, 0.000080
350, 0.001038, 0.000077
360, 0.001020, 0.000074
370, 0.001004, 0.000072
380, 0.000988, 0.000069
390, 0.000976, 0.000067
400, 0.000962, 0.000065
410, 0.000948, 0.000063
420, 0.000936, 0.000061
430, 0.000924, 0.000059
440, 0.000913, 0.000057
450, 0.000902, 0.000056
460, 0.000893, 0.000054
470, 0.000883, 0.000053
480, 0.000874, 0.000052
490, 0.000864, 0.000050
500, 0.000854, 0.000049
510, 0.000846, 0.000048
520, 0.000837, 0.000047
530, 0.000829, 0.000047
540, 0.000822, 0.000046
550, 0.000814, 0.000045
560, 0.000806, 0.000044
570, 0.000799, 0.000044
580, 0.000791, 0.000043
590, 0.000784, 0.000042
600, 0.000778, 0.000042
610, 0.000771, 0.000041
620, 0.000765, 0.000041
630, 0.000759, 0.000040
640, 0.000753, 0.000040
650, 0.000748, 0.000039
660, 0.000742, 0.000039
670, 0.000737, 0.000039
680, 0.000731, 0.000038
690, 0.000727, 0.000038
700, 0.000722, 0.000038
710, 0.000717, 0.000037
720, 0.000712, 0.000037
730, 0.000707, 0.000037
740, 0.000703, 0.000037
750, 0.000699, 0.000036
760, 0.000695, 0.000036
770, 0.000690, 0.000036
780, 0.000686, 0.000036
790, 0.000682, 0.000036
800, 0.000678, 0.000035
810, 0.000675, 0.000035
820, 0.000671, 0.000035
830, 0.000668, 0.000035
840, 0.000664, 0.000035
850, 0.000661, 0.000035
860, 0.000658, 0.000035
870, 0.000654, 0.000035
880, 0.000651, 0.000035
890, 0.000648, 0.000034
900, 0.000645, 0.000034
910, 0.000642, 0.000034
920, 0.000639, 0.000034
930, 0.000637, 0.000034
940, 0.000634, 0.000034
950, 0.000632, 0.000034
960, 0.000629, 0.000034
970, 0.000626, 0.000034
980, 0.000624, 0.000034
990, 0.000621, 0.000034
1000, 0.000619, 0.000034
1010, 0.000617, 0.000034
1020, 0.000615, 0.000034
1030, 0.000613, 0.000034
1040, 0.000611, 0.000034
1050, 0.000608, 0.000034
1060, 0.000607, 0.000034
1070, 0.000604, 0.000034
1080, 0.000603, 0.000034
1090, 0.000600, 0.000034
1100, 0.000598, 0.000034
1110, 0.000597, 0.000034
1120, 0.000595, 0.000034
1130, 0.000592, 0.000034
