NumElements, MSE_natural, MSE_SGW
10, 0.500841, 0.314817
20, 0.388224, 0.244794
30, 0.332358, 0.200395
40, 0.296236, 0.170056
50, 0.267457, 0.146694
60, 0.244433, 0.127517
70, 0.225298, 0.111266
80, 0.207999, 0.097986
90, 0.192392, 0.087121
100, 0.179175, 0.078502
110, 0.167772, 0.071332
120, 0.157467, 0.065070
130, 0.148221, 0.059639
140, 0.139603, 0.054885
150, 0.131598, 0.050776
160, 0.124123, 0.047083
170, 0.117453, 0.043615
180, 0.111290, 0.040616
190, 0.105433, 0.037847
200, 0.099922, 0.035303
210, 0.094883, 0.033047
220, 0.090150, 0.030900
230, 0.085815, 0.028991
240, 0.081844, 0.027395
250, 0.078192, 0.025892
260, 0.074758, 0.024465
270, 0.071507, 0.023099
280, 0.068393, 0.021882
290, 0.065450, 0.020796
300, 0.062752, 0.019776
310, 0.060176, 0.018858
320, 0.057707, 0.017993
330, 0.055407, 0.017161
340, 0.053266, 0.016368
350, 0.051218, 0.015613
360, 0.049248, 0.014905
370, 0.047341, 0.014252
380, 0.045512, 0.013634
390, 0.043739, 0.013042
400, 0.042041, 0.012497
410, 0.040421, 0.011962
420, 0.038865, 0.011478
430, 0.037384, 0.011020
440, 0.036003, 0.010577
450, 0.034678, 0.010151
460, 0.033428, 0.009747
470, 0.032248, 0.009336
480, 0.031105, 0.008952
490, 0.030029, 0.008591
500, 0.029000, 0.008250
510, 0.027994, 0.007930
520, 0.027037, 0.007617
530, 0.026093, 0.007318
540, 0.025192, 0.007037
550, 0.024325, 0.006775
560, 0.023492, 0.006528
570, 0.022692, 0.006291
580, 0.021925, 0.006062
590, 0.021165, 0.005842
600, 0.020449, 0.005634
610, 0.019758, 0.005429
620, 0.019091, 0.005239
630, 0.018452, 0.005059
640, 0.017846, 0.004883
650, 0.017260, 0.004709
660, 0.016701, 0.004535
670, 0.016158, 0.004373
680, 0.015637, 0.004217
690, 0.015130, 0.004072
700, 0.014640, 0.003936
710, 0.014171, 0.003803
720, 0.013719, 0.003673
730, 0.013287, 0.003543
740, 0.012870, 0.003417
750, 0.012467, 0.003296
760, 0.012079, 0.003184
770, 0.011707, 0.003076
780, 0.011352, 0.002970
790, 0.011006, 0.002870
800, 0.010671, 0.002772
810, 0.010344, 0.002677
820, 0.010029, 0.002586
830, 0.009731, 0.002499
840, 0.009441, 0.002416
850, 0.009160, 0.002338
860, 0.008886, 0.002262
870, 0.008616, 0.002190
880, 0.008351, 0.002120
890, 0.008092, 0.002055
900, 0.007843, 0.001991
910, 0.007602, 0.001927
920, 0.007371, 0.001869
930, 0.007146, 0.001810
940, 0.006928, 0.001754
950, 0.006716, 0.001700
960, 0.006507, 0.001648
970, 0.006305, 0.001595
980, 0.006109, 0.001546
990, 0.005919, 0.001498
1000, 0.005736, 0.001452
1010, 0.005555, 0.001407
1020, 0.005385, 0.001362
1030, 0.005221, 0.001318
1040, 0.005061, 0.001277
1050, 0.004904, 0.001236
1060, 0.004755, 0.001197
1070, 0.004608, 0.001159
1080, 0.004463, 0.001124
1090, 0.004324, 0.001088
1100, 0.004190, 0.001053
1110, 0.004059, 0.001020
1120, 0.003933, 0.000987
1130, 0.003810, 0.000956
