NumElements, MSE_natural, MSE_SGW
10, 0.500841, 0.326552
20, 0.390932, 0.286443
30, 0.349039, 0.265211
40, 0.323170, 0.253456
50, 0.306122, 0.246872
60, 0.292706, 0.242408
70, 0.282164, 0.239383
80, 0.273448, 0.236981
90, 0.266871, 0.235012
100, 0.261635, 0.233457
110, 0.257446, 0.232141
120, 0.253928, 0.231063
130, 0.250833, 0.230148
140, 0.248286, 0.229353
150, 0.246103, 0.228632
160, 0.244122, 0.227967
170, 0.242288, 0.227370
180, 0.240568, 0.226832
190, 0.239010, 0.226356
200, 0.237638, 0.225909
210, 0.236458, 0.225480
220, 0.235374, 0.225100
230, 0.234391, 0.224757
240, 0.233457, 0.224453
250, 0.232619, 0.224179
260, 0.231814, 0.223910
270, 0.231061, 0.223669
280, 0.230391, 0.223451
290, 0.229793, 0.223251
300, 0.229225, 0.223068
310, 0.228697, 0.222903
320, 0.228200, 0.222751
330, 0.227735, 0.222613
340, 0.227309, 0.222489
350, 0.226923, 0.222375
360, 0.226563, 0.222267
370, 0.226226, 0.222166
380, 0.225917, 0.222067
390, 0.225627, 0.221975
400, 0.225349, 0.221891
410, 0.225080, 0.221815
420, 0.224827, 0.221745
430, 0.224599, 0.221680
440, 0.224385, 0.221620
450, 0.224179, 0.221562
460, 0.223985, 0.221509
470, 0.223800, 0.221459
480, 0.223632, 0.221412
490, 0.223474, 0.221369
500, 0.223321, 0.221327
510, 0.223174, 0.221287
520, 0.223030, 0.221250
530, 0.222899, 0.221215
540, 0.222774, 0.221183
550, 0.222660, 0.221154
560, 0.222552, 0.221126
570, 0.222447, 0.221100
580, 0.222350, 0.221076
590, 0.222257, 0.221052
600, 0.222168, 0.221030
610, 0.222077, 0.221010
620, 0.221994, 0.220991
630, 0.221917, 0.220972
640, 0.221846, 0.220956
650, 0.221778, 0.220940
660, 0.221713, 0.220924
670, 0.221653, 0.220910
680, 0.221596, 0.220897
690, 0.221544, 0.220885
700, 0.221496, 0.220873
710, 0.221452, 0.220863
720, 0.221411, 0.220854
730, 0.221371, 0.220845
740, 0.221335, 0.220837
750, 0.221300, 0.220829
760, 0.221266, 0.220822
770, 0.221235, 0.220815
780, 0.221206, 0.220809
790, 0.221178, 0.220803
800, 0.221151, 0.220798
810, 0.221127, 0.220792
820, 0.221104, 0.220788
830, 0.221082, 0.220783
840, 0.221061, 0.220779
850, 0.221041, 0.220774
860, 0.221023, 0.220771
870, 0.221006, 0.220767
880, 0.220990, 0.220763
890, 0.220974, 0.220760
900, 0.220960, 0.220757
910, 0.220946, 0.220754
920, 0.220933, 0.220751
930, 0.220921, 0.220749
940, 0.220910, 0.220747
950, 0.220899, 0.220745
960, 0.220889, 0.220743
970, 0.220879, 0.220741
980, 0.220870, 0.220740
990, 0.220861, 0.220738
1000, 0.220853, 0.220736
1010, 0.220845, 0.220735
1020, 0.220838, 0.220734
1030, 0.220830, 0.220732
1040, 0.220824, 0.220731
1050, 0.220818, 0.220730
1060, 0.220812, 0.220729
1070, 0.220806, 0.220728
1080, 0.220801, 0.220727
1090, 0.220796, 0.220726
1100, 0.220791, 0.220725
1110, 0.220786, 0.220725
1120, 0.220782, 0.220724
1130, 0.220778, 0.220723
