NumElements, MSE_natural, MSE_SGW
10, 0.937935, 0.422649
20, 0.890845, 0.186847
30, 0.846990, 0.150791
40, 0.808434, 0.136304
50, 0.773097, 0.126230
60, 0.740042, 0.118217
70, 0.708113, 0.111521
80, 0.678132, 0.105714
90, 0.649500, 0.100236
100, 0.622541, 0.095357
110, 0.595993, 0.090952
120, 0.572267, 0.086817
130, 0.550160, 0.083097
140, 0.528909, 0.079612
150, 0.508492, 0.076332
160, 0.488946, 0.073253
170, 0.470308, 0.070319
180, 0.452079, 0.067448
190, 0.434542, 0.064738
200, 0.417968, 0.062147
210, 0.401738, 0.059671
220, 0.385674, 0.057347
230, 0.370089, 0.055092
240, 0.355349, 0.053000
250, 0.341372, 0.050973
260, 0.327875, 0.049052
270, 0.314963, 0.047259
280, 0.302704, 0.045539
290, 0.290656, 0.043838
300, 0.278953, 0.042237
310, 0.267611, 0.040725
320, 0.256921, 0.039223
330, 0.246579, 0.037836
340, 0.236609, 0.036469
350, 0.227202, 0.035195
360, 0.218298, 0.033997
370, 0.209868, 0.032816
380, 0.201943, 0.031701
390, 0.194512, 0.030659
400, 0.187279, 0.029669
410, 0.180303, 0.028708
420, 0.173565, 0.027769
430, 0.167162, 0.026859
440, 0.161029, 0.025992
450, 0.155177, 0.025151
460, 0.149506, 0.024337
470, 0.144245, 0.023548
480, 0.139279, 0.022794
490, 0.134453, 0.022046
500, 0.129797, 0.021338
510, 0.125458, 0.020650
520, 0.121271, 0.019999
530, 0.117260, 0.019362
540, 0.113392, 0.018749
550, 0.109722, 0.018153
560, 0.106258, 0.017592
570, 0.102842, 0.017045
580, 0.099648, 0.016516
590, 0.096701, 0.015999
600, 0.093873, 0.015480
610, 0.091136, 0.014984
620, 0.088459, 0.014513
630, 0.085788, 0.014061
640, 0.083236, 0.013631
650, 0.080788, 0.013220
660, 0.078343, 0.012814
670, 0.075962, 0.012426
680, 0.073680, 0.012052
690, 0.071523, 0.011691
700, 0.069432, 0.011340
710, 0.067448, 0.010998
720, 0.065515, 0.010658
730, 0.063627, 0.010329
740, 0.061771, 0.009989
750, 0.059999, 0.009678
760, 0.058286, 0.009375
770, 0.056649, 0.009087
780, 0.055081, 0.008806
790, 0.053557, 0.008536
800, 0.052062, 0.008258
810, 0.050607, 0.007996
820, 0.049201, 0.007752
830, 0.047840, 0.007520
840, 0.046524, 0.007289
850, 0.045270, 0.007071
860, 0.044064, 0.006859
870, 0.042891, 0.006655
880, 0.041755, 0.006460
890, 0.040646, 0.006269
900, 0.039572, 0.006085
910, 0.038538, 0.005903
920, 0.037537, 0.005733
930, 0.036562, 0.005567
940, 0.035609, 0.005400
950, 0.034674, 0.005240
960, 0.033758, 0.005086
970, 0.032874, 0.004933
980, 0.032023, 0.004781
990, 0.031205, 0.004635
1000, 0.030412, 0.004496
1010, 0.029631, 0.004358
1020, 0.028875, 0.004226
1030, 0.028143, 0.004098
1040, 0.027426, 0.003973
1050, 0.026726, 0.003853
1060, 0.026042, 0.003737
1070, 0.025373, 0.003624
1080, 0.024723, 0.003518
1090, 0.024089, 0.003414
1100, 0.023468, 0.003313
1110, 0.022860, 0.003214
1120, 0.022264, 0.003120
1130, 0.021681, 0.003030
