NumElements, MSE_natural, MSE_SGW
10, 0.906691, 0.213231
20, 0.826861, 0.142960
30, 0.760314, 0.130218
40, 0.694598, 0.120735
50, 0.635856, 0.113750
60, 0.580596, 0.107960
70, 0.529859, 0.102993
80, 0.484811, 0.098780
90, 0.443104, 0.095113
100, 0.406107, 0.091839
110, 0.373315, 0.088880
120, 0.343058, 0.086200
130, 0.315380, 0.083740
140, 0.290633, 0.081521
150, 0.267057, 0.079472
160, 0.245926, 0.077661
170, 0.227727, 0.076010
180, 0.211654, 0.074480
190, 0.197282, 0.073090
200, 0.184480, 0.071829
210, 0.172906, 0.070628
220, 0.161675, 0.069505
230, 0.151569, 0.068439
240, 0.142455, 0.067473
250, 0.134023, 0.066570
260, 0.126444, 0.065758
270, 0.119834, 0.064980
280, 0.113796, 0.064280
290, 0.108317, 0.063612
300, 0.103388, 0.062993
310, 0.098827, 0.062433
320, 0.094775, 0.061926
330, 0.091031, 0.061461
340, 0.087478, 0.061028
350, 0.084387, 0.060609
360, 0.081591, 0.060214
370, 0.079036, 0.059849
380, 0.076760, 0.059503
390, 0.074731, 0.059179
400, 0.072905, 0.058878
410, 0.071274, 0.058591
420, 0.069825, 0.058329
430, 0.068456, 0.058084
440, 0.067146, 0.057849
450, 0.066001, 0.057629
460, 0.064951, 0.057417
470, 0.063972, 0.057228
480, 0.063078, 0.057044
490, 0.062291, 0.056879
500, 0.061575, 0.056728
510, 0.060933, 0.056586
520, 0.060356, 0.056449
530, 0.059847, 0.056320
540, 0.059366, 0.056204
550, 0.058926, 0.056088
560, 0.058506, 0.055987
570, 0.058144, 0.055892
580, 0.057805, 0.055801
590, 0.057486, 0.055714
600, 0.057205, 0.055630
610, 0.056939, 0.055551
620, 0.056701, 0.055478
630, 0.056486, 0.055409
640, 0.056291, 0.055344
650, 0.056109, 0.055283
660, 0.055942, 0.055226
670, 0.055792, 0.055172
680, 0.055660, 0.055123
690, 0.055539, 0.055076
700, 0.055433, 0.055030
710, 0.055339, 0.054987
720, 0.055253, 0.054949
730, 0.055176, 0.054913
740, 0.055105, 0.054880
750, 0.055040, 0.054850
760, 0.054983, 0.054821
770, 0.054927, 0.054794
780, 0.054879, 0.054769
790, 0.054836, 0.054745
800, 0.054797, 0.054723
810, 0.054762, 0.054703
820, 0.054731, 0.054683
830, 0.054703, 0.054665
840, 0.054677, 0.054649
850, 0.054652, 0.054634
860, 0.054631, 0.054620
870, 0.054611, 0.054607
880, 0.054593, 0.054596
890, 0.054577, 0.054585
900, 0.054562, 0.054574
910, 0.054549, 0.054564
920, 0.054537, 0.054555
930, 0.054526, 0.054546
940, 0.054516, 0.054538
950, 0.054507, 0.054530
960, 0.054498, 0.054523
970, 0.054491, 0.054517
980, 0.054484, 0.054511
990, 0.054477, 0.054505
1000, 0.054472, 0.054500
1010, 0.054467, 0.054494
1020, 0.054463, 0.054490
1030, 0.054459, 0.054485
1040, 0.054456, 0.054481
1050, 0.054452, 0.054477
1060, 0.054449, 0.054473
1070, 0.054447, 0.054470
1080, 0.054444, 0.054467
1090, 0.054442, 0.054464
1100, 0.054440, 0.054461
1110, 0.054438, 0.054459
1120, 0.054436, 0.054456
1130, 0.054434, 0.054454
